Analyzer:;PQM-711 (BS0109);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recording start: ;2019-10-17 10:50:00.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recording stop: ;25.10.2019 13:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;(UTC+2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flag:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E - event;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P - PLL no synchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G - GPS no synchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T - time resynchronization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A - A/D overflow;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;'E';'P';'G';'T';'A';Date      ;Time (UTC+2);U L1 min [V];U L1 max [V];U L1 avg [V];U L2 min [V];U L2 max [V];U L2 avg [V];U L3 min [V];U L3 max [V];U L3 avg [V];U N-PE min [V];U N-PE max [V];U N-PE avg [V];U L12 avg [V];U L23 avg [V];U L31 avg [V];I *L1 min [A];I *L1 max [A];I *L1 avg [A];I *L2 min [A];I *L2 max [A];I *L2 avg [A];I *L3 min [A];I *L3 max [A];I *L3 avg [A];I *N min [A];I *N max [A];I *N avg [A];Pst L1 inst [---];Pst L2 inst [---];Pst L3 inst [---];Plt L1 inst [---];Plt L2 inst [---];Plt L3 inst [---];U0/U1 Σ min [%];U0/U1 Σ max [%];U0/U1 Σ avg [%];U2/U1 Σ min [%];U2/U1 Σ max [%];U2/U1 Σ avg [%];U0 Σ min [V];U0 Σ max [V];U0 Σ avg [V];U1 Σ min [V];U1 Σ max [V];U1 Σ avg [V];U2 Σ min [V];U2 Σ max [V];U2 Σ avg [V];I0/I1 Σ min [%];I0/I1 Σ max [%];I0/I1 Σ avg [%];I2/I1 Σ min [%];I2/I1 Σ max [%];I2/I1 Σ avg [%];I0 Σ min [A];I0 Σ max [A];I0 Σ avg [A];I1 Σ min [A];I1 Σ max [A];I1 Σ avg [A];I2 Σ min [A];I2 Σ max [A];I2 Σ avg [A];PF L1 avg [---];PF L2 avg [---];PF L3 avg [---];PF Σ avg [---];P L1 min [kW];P L1 max [kW];P L1 avg [kW];P L2 min [kW];P L2 max [kW];P L2 avg [kW];P L3 min [kW];P L3 max [kW];P L3 avg [kW];P Σ min [kW] ;P Σ max [kW] ;P Σ avg [kW] ;Q1 L1 min [kvar];Q1 L1 max [kvar];Q1 L1 avg [kvar];Q1 L2 min [kvar];Q1 L2 max [kvar];Q1 L2 avg [kvar];Q1 L3 min [kvar];Q1 L3 max [kvar];Q1 L3 avg [kvar];Q1 Σ min [kvar];Q1 Σ max [kvar];Q1 Σ avg [kvar];S L1 min [kVA];S L1 max [kVA];S L1 avg [kVA];S L2 min [kVA];S L2 max [kVA];S L2 avg [kVA];S L3 min [kVA];S L3 max [kVA];S L3 avg [kVA];S Σ min [kVA];S Σ max [kVA];S Σ avg [kVA]
;;   ;   ;   ;   ;   ;17.10.2019;10:50:00.004;233,28;236,33;235,06;233,64;236,78;235,41;233,67;236,67;235,38;0,0249;0,0249;0,0249;407,43;408,03;407,1;14,294;23,173;20,644;14,448;16,204;15,34;10,969;16,692;15,307;4,0997;12,595;8,4279;0,36;0,36;0,35;                 ;                 ;                 ;0,01;0,08;0,05;0,07;0,22;0,14;0,0249;0,1992;0,1245;233,68;236,39;235,26;0,1743;0,523;0,3238;5,09;30,31;17,3;4,88;31,26;13,92;0,75531;4,4088;2,8812;14,547;17,811;16,658;0,72348;4,5467;2,319;-0,75;-0,55;-0,46;-0,58;-4,01E+03;-2,10E+03;-3,63E+03;-2,24E+03;-1,74E+03;-1,99E+03;-1,96E+03;2,96E+00;-1,67E+03;-8,18E+03;-5,49E+03;-7,29E+03;-3,40E+03;-2,69E+03;-3,16E+03;-2,98E+03;-2,83E+03;-2,93E+03;-3,27E+03;-2,53E+03;-3,14E+03;-9,65E+03;-8,65E+03;-9,23E+03;3,54E+03;5,29E+03;4,85E+03;3,43E+03;3,77E+03;3,61E+03;2,60E+03;3,85E+03;3,60E+03;1,08E+04;1,36E+04;1,27E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:00:00.038;233,42;236,52;235,29;234,09;236,86;235,7;234,06;236,78;235,67;0,0249;0,0249;0,0249;407,92;408,44;407,59;15,951;24,546;19,567;9,6309;16,904;13,893;10,626;17,764;16,35;4,1457;15,109;9,096;0,36;0,35;0,35;                 ;                 ;                 ;0,01;0,09;0,05;0,03;0,21;0,14;0,0249;0,2119;0,1247;234,04;236,53;235,52;0,0623;0,4986;0,3241;4,73;31,61;19,7;8,27;30,53;19,11;0,70943;5,22;3,1449;13,544;17,879;15,963;1,2923;4,8881;3,0505;-0,66;-0,32;-0,56;-0,5;-4,44E+03;-1,92E+03;-2,99E+03;-2,29E+03;8,70E+02;-1,04E+03;-2,51E+03;-9,05E+02;-2,14E+03;-8,21E+03;-3,43E+03;-6,18E+03;-3,41E+03;-2,76E+03;-3,29E+03;-3,13E+03;-2,28E+03;-2,96E+03;-3,27E+03;-2,43E+03;-3,14E+03;-9,74E+03;-8,55E+03;-9,39E+03;3,82E+03;5,57E+03;4,55E+03;2,43E+03;3,87E+03;3,27E+03;2,69E+03;4,05E+03;3,85E+03;1,03E+04;1,42E+04;1,23E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:10:00.163;233,23;236,29;235,14;234,05;236,89;235,84;233,99;236,85;235,8;0,025;0,025;0,025;407,67;408,78;407,74;11,265;17,528;15,053;10,099;14,168;13,083;13,994;16,945;15,254;4,2933;12,814;6,7193;0,36;0,36;0,35;                 ;                 ;                 ;0,01;0,08;0,04;0,1;0,24;0,18;0,025;0,1747;0,0873;233,87;236,53;235,56;0,2495;0,5614;0,4242;5,8;33,97;14,1;10,52;33,74;19,61;0,8821;4,1067;1,9536;12,087;15,247;13,86;1,593;4,0778;2,7174;-0,06;-0,2;-0,5;-0,25;-2,11E+03;1,64E+03;-2,16E+02;-1,35E+03;1,34E+02;-6,28E+02;-2,39E+03;-1,18E+03;-1,80E+03;-5,73E+03;2,67E+01;-2,64E+03;-3,37E+03;-2,59E+03;-3,29E+03;-2,98E+03;-2,41E+03;-2,92E+03;-3,09E+03;-3,00E+03;-3,05E+03;-9,40E+03;-8,53E+03;-9,25E+03;2,90E+03;3,94E+03;3,53E+03;2,50E+03;3,26E+03;3,08E+03;3,32E+03;3,89E+03;3,59E+03;9,87E+03;1,13E+04;1,06E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:20:00.167;233,27;236,09;234,82;233,86;236,85;235,5;233,8;236,76;235,42;0,0249;0,0249;0,0249;407,19;408,09;407,09;13,798;16,132;14,987;12,639;14,576;13,582;10,244;15,566;13,991;4,3409;14,101;7,2796;0,35;0,35;0,34;                 ;                 ;                 ;0;0,08;0,04;0,09;0,24;0,16;0,0125;0,1744;0,0872;233,95;236,44;235,22;0,2117;0,548;0,3736;1,15;32,06;15,54;13,38;34,42;23,62;0,14918;4,141;2,0855;12,696;13,805;13,422;1,797;4,4448;3,1701;0,13;0,26;-0,3;0,03;-1,45E+02;1,83E+03;4,52E+02;-3,37E+02;1,47E+03;8,44E+02;-1,75E+03;4,03E+02;-9,99E+02;-1,43E+03;2,32E+03;2,97E+02;-3,62E+03;-3,06E+03;-3,40E+03;-3,02E+03;-2,88E+03;-2,95E+03;-3,13E+03;-2,43E+03;-3,08E+03;-9,71E+03;-8,85E+03;-9,43E+03;3,27E+03;3,75E+03;3,52E+03;2,97E+03;3,38E+03;3,20E+03;2,53E+03;3,56E+03;3,29E+03;9,72E+03;1,15E+04;1,04E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:30:00.168;232,98;236,02;234,55;233,51;236,66;235,11;233,39;236,56;235,02;0,0249;0,0249;0,0249;406,67;407,36;406,52;10,874;27,295;18,014;11,92;21,801;14,802;14,352;26,201;18,091;4,3951;19,631;7,2191;0,35;0,35;0,35;                 ;                 ;                 ;0,01;0,07;0,04;0,06;0,2;0,13;0,0249;0,1741;0,087;233,34;236,05;234,86;0,1492;0,4724;0,3108;3,41;33,17;12,99;7,65;43,68;17,12;0,77889;4,0952;2,1342;12,112;24,201;16,424;1,5428;5,2898;2,8115;-0,47;-0,38;-0,68;-0,5;-5,37E+03;5,57E+02;-1,95E+03;-4,02E+03;1,90E+03;-1,31E+03;-5,34E+03;-1,61E+03;-2,86E+03;-1,45E+04;1,08E+02;-6,12E+03;-3,31E+03;-2,54E+03;-3,25E+03;-2,96E+03;-2,24E+03;-2,89E+03;-3,09E+03;-2,25E+03;-3,01E+03;-9,34E+03;-8,36E+03;-9,15E+03;2,69E+03;6,32E+03;4,13E+03;2,82E+03;4,97E+03;3,44E+03;3,37E+03;6,14E+03;4,22E+03;1,02E+04;1,75E+04;1,22E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:40:00.059;233,24;235,98;234,88;233,65;236,54;235,43;233,65;236,6;235,41;0,0249;0,0249;0,0249;407,22;408,03;407,12;11,389;34,612;21,038;12,813;28,194;16,97;11,231;31,407;20,638;4,4641;16,527;6,7204;0,35;0,35;0,35;                 ;                 ;                 ;0,01;0,09;0,03;0,07;0,22;0,15;0,0374;0,2117;0,0747;233,83;236,19;235,22;0,1619;0,5106;0,3487;4,84;31,91;10,52;6,09;32,06;13,8;1,031;4,8982;2,0123;14,929;30,796;19,129;1,3426;4,9204;2,6398;-0,7;-0,64;-0,78;-0,69;-7,35E+03;-4,06E+02;-3,38E+03;-5,94E+03;-1,37E+03;-2,51E+03;-6,80E+03;-1,26E+03;-3,77E+03;-1,98E+04;-5,72E+03;-9,66E+03;-3,34E+03;-2,84E+03;-3,25E+03;-2,94E+03;-2,38E+03;-2,88E+03;-3,05E+03;-2,26E+03;-2,90E+03;-9,25E+03;-8,47E+03;-9,03E+03;2,99E+03;8,09E+03;4,84E+03;3,25E+03;6,63E+03;3,95E+03;2,75E+03;7,38E+03;4,81E+03;1,16E+04;2,21E+04;1,40E+04
;;   ;   ;   ;   ;   ;17.10.2019;11:50:00.163;232,98;235,88;234,61;233,62;236,56;235,29;233,49;236,66;235,32;0,0249;0,0249;0,0249;406,76;407,83;406,87;12,897;48,564;34,794;10,339;42,704;31,022;20,113;49,994;37,073;4,1349;16,916;9,6963;0,37;0,37;0,37;                 ;                 ;                 ;0,01;0,11;0,06;0,1;0,26;0,18;0,0249;0,2489;0,1369;233,51;236,26;235,04;0,2365;0,6099;0,4232;1,35;39,58;9,74;2,4;50,01;10,73;0,56149;5,8804;3,3018;13,248;46,398;33,891;0,99939;6,7806;3,6359;-0,82;-0,88;-0,93;-0,85;-1,09E+04;7,05E+02;-6,13E+03;-9,58E+03;-8,55E+02;-6,02E+03;-1,14E+04;-3,76E+03;-7,77E+03;-3,16E+04;-4,26E+03;-1,99E+04;-3,18E+03;-2,43E+03;-3,00E+03;-2,93E+03;-2,36E+03;-2,83E+03;-2,91E+03;-2,70E+03;-2,83E+03;-8,97E+03;-8,08E+03;-8,67E+03;3,10E+03;1,14E+04;7,47E+03;2,66E+03;1,00E+04;6,87E+03;4,76E+03;1,18E+04;8,36E+03;1,23E+04;3,30E+04;2,33E+04
;;   ;   ;   ;   ;   ;17.10.2019;12:00:00.019;233,62;236,81;235,22;234,09;237,32;235,79;234,26;237,5;235,89;0,025;0,025;0,025;407,74;408,76;407,89;26,502;57,092;36,894;23,685;48,568;33,455;30,846;52,795;39,741;3,6974;15,062;7,4489;0,36;0,36;0,36;                 ;                 ;                 ;0;0,1;0,04;0,06;0,27;0,17;0;0,237;0,0873;234,17;237,04;235,61;0,1497;0,6362;0,3992;0,12;13,88;6,55;0,85;15,43;7,98;0,038333;5,4398;2,3871;27,767;52,196;36,45;0,34848;5,9016;2,9081;-0,92;-0,92;-0,95;-0,92;-1,30E+04;-5,35E+03;-7,82E+03;-1,11E+04;-4,82E+03;-7,20E+03;-1,20E+04;-6,78E+03;-8,81E+03;-3,60E+04;-1,74E+04;-2,38E+04;-3,27E+03;-2,91E+03;-3,12E+03;-2,99E+03;-2,33E+03;-2,86E+03;-2,95E+03;-2,34E+03;-2,89E+03;-9,19E+03;-8,33E+03;-8,87E+03;6,30E+03;1,34E+04;8,49E+03;5,71E+03;1,14E+04;7,80E+03;7,40E+03;1,24E+04;9,30E+03;2,01E+04;3,73E+04;2,59E+04
;;   ;   ;   ;   ;   ;17.10.2019;12:10:00.073;234,27;237,36;235,91;234,61;237,46;236,21;234,64;237,59;236,31;0,025;0,025;0,025;409,07;409,39;408,54;35,825;61,749;48,857;19,057;38,061;29,94;24,616;45,887;38,47;8,848;25,411;15,708;0,36;0,36;0,35;                 ;                 ;                 ;0,06;0,17;0,11;0,05;0,22;0,13;0,1249;0,4123;0,2499;234,61;237,29;236,11;0,1124;0,5248;0,3124;8,59;24,51;14,93;9,05;23,88;15,55;3,1604;9,3832;5,795;26,987;47,127;38,814;3,4431;9,2174;6,0344;-0,96;-0,9;-0,94;-0,9;-1,40E+04;-7,84E+03;-1,10E+04;-8,46E+03;-3,33E+03;-6,35E+03;-1,05E+04;-4,92E+03;-8,56E+03;-3,21E+04;-1,67E+04;-2,59E+04;-3,29E+03;-3,13E+03;-3,19E+03;-2,99E+03;-2,70E+03;-2,85E+03;-3,07E+03;-2,82E+03;-2,90E+03;-9,34E+03;-8,69E+03;-8,94E+03;8,52E+03;1,44E+04;1,15E+04;4,55E+03;8,93E+03;7,02E+03;5,82E+03;1,09E+04;9,06E+03;2,12E+04;3,46E+04;2,88E+04
;;   ;   ;   ;   ;   ;17.10.2019;12:20:00.096;233,63;237,17;235,69;233,89;237,7;236,17;233,97;237,65;236,14;0,025;0,025;0,025;408,79;409,39;408,11;33,902;62,34;48,729;21,728;43,484;34,61;25,27;42,637;36,007;7,6579;26,193;14,658;0,36;0,36;0,35;                 ;                 ;                 ;0,05;0,18;0,1;0,11;0,27;0,19;0,1124;0,4248;0,2374;234,25;237,33;235,97;0,2624;0,6372;0,4498;7;25,72;13,38;4,81;25,3;12,44;2,422;9,6652;5,2816;30,639;46,61;39,465;1,7466;9,5225;4,9087;-0,96;-0,93;-0,93;-0,91;-1,43E+04;-7,94E+03;-1,10E+04;-9,81E+03;-4,35E+03;-7,51E+03;-9,54E+03;-5,59E+03;-7,89E+03;-3,18E+04;-1,98E+04;-2,64E+04;-3,19E+03;-2,09E+03;-2,86E+03;-3,08E+03;-2,71E+03;-2,88E+03;-3,08E+03;-2,37E+03;-3,02E+03;-9,16E+03;-7,91E+03;-8,75E+03;8,32E+03;1,47E+04;1,14E+04;5,37E+03;1,02E+04;8,11E+03;6,12E+03;1,00E+04;8,47E+03;2,27E+04;3,49E+04;2,90E+04
;;   ;   ;   ;   ;   ;17.10.2019;12:30:00.141;234,04;237,19;235,94;234,44;237,54;236,29;234,51;237,48;236,25;0,025;0,025;0,025;409,28;409,62;408,21;38,185;74,007;57,169;13,918;51,64;35,877;23,872;42,7;34,939;15,027;31,642;22,806;0,38;0,38;0,38;                 ;                 ;                 ;0,11;0,22;0,16;0,09;0,31;0,22;0,25;0,5126;0,375;234,48;237,16;236,13;0,225;0,7376;0,5126;11,29;38,67;19,94;10,81;38,22;19,02;5,423;11,729;8,4067;23,892;54,569;42,167;5,1949;11,481;8,0205;-0,97;-0,91;-0,93;-0,87;-1,71E+04;-8,47E+03;-1,29E+04;-1,19E+04;-9,86E+02;-7,36E+03;-9,67E+03;-4,71E+03;-7,58E+03;-3,76E+04;-1,42E+04;-2,79E+04;-3,13E+03;-2,50E+03;-3,00E+03;-3,08E+03;-2,34E+03;-2,87E+03;-3,10E+03;-2,37E+03;-3,00E+03;-9,28E+03;-8,19E+03;-8,85E+03;9,05E+03;1,74E+04;1,33E+04;3,31E+03;1,22E+04;8,06E+03;5,65E+03;1,01E+04;8,19E+03;2,15E+04;4,17E+04;3,20E+04
